country,total_revenue,total_orders,total_quantity_sold,average_order_value
United Kingdom,8990682.03,18018,4646905.0,498.98
Netherlands,285446.34,94,200361.0,3036.66
EIRE,283140.52,288,147007.0,983.13
Germany,228678.4,457,119154.0,500.39
France,209625.37,392,112060.0,534.76
Australia,138453.81,57,83891.0,2429.01
Spain,61558.56,90,27933.0,683.98
Switzerland,57067.6,54,30617.0,1056.81
Belgium,41196.34,98,23237.0,420.37
Sweden,38367.83,36,36078.0,1065.77
Japan,37416.37,19,26016.0,1969.28
Norway,36165.44,36,19336.0,1004.6
Portugal,33683.05,58,16231.0,580.74
Finland,22546.08,41,10704.0,549.9
Singapore,21279.29,7,5241.0,3039.9
Channel Islands,20440.54,26,9485.0,786.17
Denmark,18955.34,18,8235.0,1053.07
Italy,17483.24,38,8112.0,460.09
Hong Kong,15483.0,11,4713.0,1407.55
Cyprus,13502.85,16,6340.0,843.93
Austria,10198.68,17,4881.0,599.92
Israel,8129.41,8,4406.0,1016.18
Poland,7334.65,19,3684.0,386.03
Greece,4760.52,5,1557.0,952.1
Unspecified,4740.94,13,3295.0,364.69
Iceland,4310.0,7,2458.0,615.71
Canada,3666.38,6,2763.0,611.06
USA,3580.39,5,2458.0,716.08
Malta,2725.59,5,970.0,545.12
United Arab Emirates,1902.28,3,982.0,634.09
Lebanon,1693.88,1,386.0,1693.88
Lithuania,1661.06,4,652.0,415.27
European Community,1300.25,4,499.0,325.06
Brazil,1143.6,1,356.0,1143.6
RSA,1002.31,1,351.0,1002.31
Czech Republic,826.74,2,671.0,413.37
Bahrain,754.14,3,314.0,251.38
Saudi Arabia,145.92,1,80.0,145.92
