customerid,country,total_revenue,total_orders,total_quantity_sold,average_order_value
14646,Netherlands,280206.02,73,196915.0,3838.44
18102,United Kingdom,259657.3,60,64124.0,4327.62
17450,United Kingdom,194390.79,46,69973.0,4225.89
16446,United Kingdom,168472.5,2,80997.0,84236.25
14911,EIRE,143711.17,201,80240.0,714.98
12415,Australia,124914.53,21,77374.0,5948.31
14156,EIRE,117210.08,55,57768.0,2131.09
17511,United Kingdom,91062.38,31,64549.0,2937.5
16029,United Kingdom,80850.84,63,40108.0,1283.35
12346,United Kingdom,77183.6,1,74215.0,77183.6
16684,United Kingdom,66653.56,28,50255.0,2380.48
14096,United Kingdom,65164.79,17,16352.0,3833.22
13694,United Kingdom,65039.62,50,63312.0,1300.79
15311,United Kingdom,60632.75,91,38147.0,666.29
13089,United Kingdom,58762.08,97,31025.0,605.79
17949,United Kingdom,58510.48,45,30546.0,1300.23
15769,United Kingdom,56252.72,26,29672.0,2163.57
15061,United Kingdom,54534.14,48,28920.0,1136.13
14298,United Kingdom,51527.3,44,58343.0,1171.07
14088,United Kingdom,50491.81,13,12665.0,3883.99
