sales_month,monthly_revenue,monthly_orders,monthly_quantity_sold
2010-12-01,821452.73,1559,358019.0
2011-01-01,689811.61,1086,387099.0
2011-02-01,522545.56,1100,282934.0
2011-03-01,716215.26,1454,376599.0
2011-04-01,536968.49,1246,307953.0
2011-05-01,769296.61,1681,395001.0
2011-06-01,760547.01,1533,388511.0
2011-07-01,718076.12,1475,399693.0
2011-08-01,746779.32,1360,421019.0
2011-09-01,1056435.19,1837,569573.0
2011-10-01,1151263.73,2040,621029.0
2011-11-01,1503866.78,2769,751377.0
2011-12-01,637790.33,819,313612.0
