stockcode,description,total_revenue,total_quantity_sold,order_count
DOT,DOTCOM POSTAGE,206248.77,706.0,706
22423,REGENCY CAKESTAND 3 TIER,174156.54,13851.0,1988
23843,"PAPER CRAFT , LITTLE BIRDIE",168469.6,80995.0,1
85123A,WHITE HANGING HEART T-LIGHT HOLDER,104284.24,37580.0,2189
47566,PARTY BUNTING,99445.23,18283.0,1685
85099B,JUMBO BAG RED RETROSPOT,94159.81,48371.0,2089
23166,MEDIUM CERAMIC TOP STORAGE JAR,81700.92,78033.0,247
POST,POSTAGE,78101.88,3150.0,1126
M,Manual,77750.27,6984.0,289
23084,RABBIT NIGHT LIGHT,66870.03,30739.0,994
