invoiceno,stockcode,description,quantity,invoicedate,unitprice,customerid,country,revenue,transaction_type
572662,23177,TREASURE ISLAND BOOK BOX,1,2011-10-25 12:54:00,2.25,15443.0,United Kingdom,2.25,Sale
563438,23188,VINTAGE  2 METER FOLDING RULER,24,2011-08-16 12:59:00,1.65,13743.0,United Kingdom,39.6,Sale
555542,21676,FLOWERS  STICKERS,12,2011-06-05 12:51:00,0.85,15108.0,European Community,10.2,Sale
571305,21931,JUMBO STORAGE BAG SUKI,15,2011-10-17 09:55:00,4.13,,United Kingdom,61.95,Sale
575875,85176,SEWING SUSAN 21 NEEDLE SET,3,2011-11-11 13:06:00,1.63,,United Kingdom,4.89,Sale
571268,22328,ROUND SNACK BOXES SET OF 4 FRUITS ,6,2011-10-16 12:06:00,2.95,15351.0,United Kingdom,17.700000000000003,Sale
561679,20914,SET/5 RED RETROSPOT LID GLASS BOWLS,12,2011-07-28 18:56:00,2.95,15245.0,United Kingdom,35.400000000000006,Sale
579492,22302,COFFEE MUG PEARS  DESIGN,24,2011-11-29 15:23:00,2.55,12670.0,France,61.2,Sale
545988,20712,JUMBO BAG WOODLAND ANIMALS,10,2011-03-08 12:52:00,1.95,12662.0,Germany,19.5,Sale
539570,48111,DOORMAT 3 SMILEY CATS,2,2010-12-20 12:05:00,7.95,15078.0,United Kingdom,15.9,Sale
539211,20971,PINK BLUE FELT CRAFT TRINKET BOX,12,2010-12-16 12:15:00,1.25,16743.0,United Kingdom,15.0,Sale
541596,21703,BAG 125g SWIRLY MARBLES,5,2011-01-19 16:18:00,0.42,17602.0,United Kingdom,2.1,Sale
536532,22095,LADS ONLY TISSUE BOX,12,2010-12-01 13:24:00,1.25,12433.0,Norway,15.0,Sale
581166,23198,PANTRY MAGNETIC  SHOPPING LIST,2,2011-12-07 14:43:00,1.45,15525.0,United Kingdom,2.9,Sale
567183,22361,GLASS JAR DAISY FRESH COTTON WOOL,2,2011-09-18 15:32:00,2.95,14769.0,United Kingdom,5.9,Sale
561367,20723,STRAWBERRY CHARLOTTE BAG,9,2011-07-26 15:46:00,2.46,,United Kingdom,22.14,Sale
575851,23355,HOT WATER BOTTLE KEEP CALM,1,2011-11-11 12:13:00,4.95,14662.0,United Kingdom,4.95,Sale
577078,21880,RED RETROSPOT TAPE,2,2011-11-17 15:17:00,0.42,,United Kingdom,0.84,Sale
551954,84755,COLOUR GLASS T-LIGHT HOLDER HANGING,16,2011-05-05 12:13:00,0.65,14515.0,United Kingdom,10.4,Sale
572550,35970,ZINC FOLKART SLEIGH BELLS,2,2011-10-24 17:06:00,4.13,,United Kingdom,8.26,Sale
542303,22849,BREAD BIN DINER STYLE MINT,1,2011-01-27 11:05:00,16.95,12539.0,Spain,16.95,Sale
549153,21936,RED RETROSPOT PICNIC BAG,5,2011-04-06 15:47:00,2.95,13771.0,United Kingdom,14.75,Sale
555857,23199,JUMBO BAG APPLES,2,2011-06-07 14:03:00,2.08,16393.0,United Kingdom,4.16,Sale
578149,22424,ENAMEL BREAD BIN CREAM,2,2011-11-23 11:11:00,24.96,,United Kingdom,49.92,Sale
541588,21188,3D HEARTS  HONEYCOMB PAPER GARLAND,12,2011-01-19 14:43:00,2.95,14307.0,United Kingdom,35.400000000000006,Sale
570871,22027,TEA PARTY BIRTHDAY CARD,1,2011-10-12 16:36:00,0.83,,United Kingdom,0.83,Sale
578977,85032C,CURIOUS IMAGES GIFT WRAP SET,3,2011-11-27 15:18:00,0.65,17231.0,United Kingdom,1.95,Sale
573769,23350,ROLL WRAP VINTAGE SPOT ,12,2011-11-01 10:04:00,1.25,13292.0,United Kingdom,15.0,Sale
541221,22111,SCOTTIE DOG HOT WATER BOTTLE,8,2011-01-14 14:28:00,5.79,,United Kingdom,46.32,Sale
571412,23427,STOOL HOME SWEET HOME ,3,2011-10-17 12:33:00,12.5,17734.0,United Kingdom,37.5,Sale
556495,21899,"KEY FOB , GARAGE DESIGN",1,2011-06-12 15:14:00,0.65,18069.0,United Kingdom,0.65,Sale
577613,21977,PACK OF 60 PINK PAISLEY CAKE CASES,24,2011-11-21 10:02:00,0.55,14911.0,EIRE,13.2,Sale
581425,21065,BOOM BOX SPEAKER GIRLS,1,2011-12-08 15:31:00,1.25,14796.0,United Kingdom,1.25,Sale
568674,23546,WRAP PAISLEY PARK ,25,2011-09-28 13:30:00,0.42,12708.0,Germany,10.5,Sale
561217,23170,REGENCY TEA PLATE ROSES ,2,2011-07-25 17:09:00,3.29,,United Kingdom,6.58,Sale
572217,84600,NEW BAROQUE JEWELLERY BOX ,1,2011-10-21 13:03:00,7.95,15311.0,United Kingdom,7.95,Sale
568139,23158,SET OF 5 LUCKY CAT MAGNETS ,12,2011-09-25 10:46:00,2.08,13083.0,United Kingdom,24.96,Sale
571850,85053,FRENCH ENAMEL CANDLEHOLDER,2,2011-10-19 12:54:00,2.1,14698.0,United Kingdom,4.2,Sale
555406,90162D,ANT SILVER PURPLE BOUDICCA RING,3,2011-06-02 19:50:00,2.95,17231.0,United Kingdom,8.850000000000001,Sale
559674,22995,TRAVEL CARD WALLET SUKI,3,2011-07-11 14:16:00,0.42,15856.0,United Kingdom,1.26,Sale
574074,23280,FOLDING BUTTERFLY MIRROR HOT PINK ,2,2011-11-02 15:33:00,2.46,,United Kingdom,4.92,Sale
561241,21975,PACK OF 60 DINOSAUR CAKE CASES,24,2011-07-26 11:00:00,0.55,13930.0,United Kingdom,13.2,Sale
538071,90039D,FIRE POLISHED GLASS BRACELET GREEN,1,2010-12-09 14:09:00,3.81,,United Kingdom,3.81,Sale
561645,22945,CHRISTMAS METAL TAGS ASSORTED ,144,2011-07-28 15:16:00,0.72,14911.0,EIRE,103.68,Sale
547663,84032A,CHARLIE+LOLA PINK HOT WATER BOTTLE,3,2011-03-24 13:16:00,2.95,16022.0,United Kingdom,8.850000000000001,Sale
579444,23241,TREASURE TIN GYMKHANA DESIGN,6,2011-11-29 13:40:00,2.08,13999.0,United Kingdom,12.48,Sale
577517,22114,HOT WATER BOTTLE TEA AND SYMPATHY,3,2011-11-20 13:16:00,4.25,16710.0,United Kingdom,12.75,Sale
545830,21904,HOUSE WRECKING METAL SIGN ,3,2011-03-07 13:10:00,2.1,17634.0,United Kingdom,6.300000000000001,Sale
539447,22356,CHARLOTTE BAG PINK POLKADOT,10,2010-12-17 16:00:00,0.85,12395.0,Belgium,8.5,Sale
542541,22668,PINK BABY BUNTING,2,2011-01-28 14:25:00,5.79,,United Kingdom,11.58,Sale
561085,23321,SMALL WHITE HEART OF WICKER,12,2011-07-25 09:26:00,1.65,14367.0,United Kingdom,19.8,Sale
551885,22328,ROUND SNACK BOXES SET OF 4 FRUITS ,12,2011-05-05 09:18:00,2.95,16700.0,United Kingdom,35.400000000000006,Sale
577126,23084,RABBIT NIGHT LIGHT,24,2011-11-17 19:22:00,1.79,12406.0,Denmark,42.96,Sale
560434,71477,COLOUR GLASS. STAR T-LIGHT HOLDER,1,2011-07-18 15:56:00,6.63,,United Kingdom,6.63,Sale
573137,84347,ROTATING SILVER ANGELS T-LIGHT HLDR,1,2011-10-27 17:15:00,4.96,,United Kingdom,4.96,Sale
546648,20961,STRAWBERRY BATH SPONGE ,1,2011-03-15 14:15:00,2.46,,United Kingdom,2.46,Sale
574481,23353,6 GIFT TAGS VINTAGE CHRISTMAS ,1,2011-11-04 12:45:00,0.83,18022.0,United Kingdom,0.83,Sale
547358,22896,PEG BAG APPLES DESIGN,2,2011-03-22 12:25:00,2.55,15998.0,United Kingdom,5.1,Sale
